Sl No.,Shutdown Reason,Date,Area/Feeder/Section Name,Time From,To Time,Shutdown Form Details,Shutdown Receiver,Shutdown Provider,Service Order No./Date,Remarks,DateTime(Time_From),DateTime(To_Time),Duration,                           
19,39KV ইনসুলেটর পরিবর্তন করার জন্য।,26-10-2019,"চৌরাস্তা-৫, সামিট ৭, বেড়াইচোলা-৮",07:06,08:10,ফিডার ট্রিপ করে ব্রেকার আউট করে শাটডাউন দেয়া হয়।,J.E উজ্জ্বল,ফরহাদ lm-1,J.E উজ্জ্বল,কাজ শেষে ক্লিয়ারেন্স দেওয়ায় লাইন চালু করা হয়  ,2019-10-26 07:06:00,2019-10-26 08:10:00,0 days 01:04:00,
19,33kv লাইনে C5 ইনসুলেটর পরিবর্তনের জন্য,26-10-2019,"চৌরাস্তা ৫ নং ফিডার,সামিত ৭ নং ফিডার, বেড়াইদের চালা ৮ নং ফিডার",07:06,08:10,ফিডার ট্রিপ করে ব্রেকার বের করা হয়।,JE উজ্জ্বল,ফরহাদ LM-1,JE উজ্জ্বল,কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-26 07:06:00,2019-10-26 08:10:00,0 days 01:04:00,
20,HT জাম্পার করা,28-10-2019,১ নং ফিডার কেওয়া বাজার,16:23,16:36,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,মনিরুজ্জামান LM-1, মনিরুজ্জামান LT,JE (কামরুজ্জামান),কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-28 16:23:00,2019-10-28 16:36:00,0 days 00:13:00,
21, 1Q HT লাইনে তার উঠানো,28-10-2019,৪ নং ফিডার ইউনিয়ন গার্মেন্টস এর পাশে,16:50,17:10,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেওয়া হয়।,মিজান (ঠিকাদার প্রতিনিধি),মনিরুজ্জামান ,JE (কামরুজ্জামান),কাজ শেষে ক্লিয়ারেন্স দেওয়ায় লাইন চালু করা হয়।,2019-10-28 16:50:00,2019-10-28 17:10:00,0 days 00:20:00,
21,1Q HT লাইনে তার উঠানোর জন্য।,28-10-2019,"৪ নং ফিডার, ইউনিয়ন গার্মেন্টস এর পাশে",16:50,17:10,ফিডার ট্রিপ করে ব্রেকার বাহির করে শাটডাউন দেওয়া হয়েছে।,মিজান ঠিকাদার প্রতিনিধি 01750440228,মনিরুজ্জামান LT, J.E কামরুজ্জামান,কাজ শেষে ক্লিয়ারেন্স দেওয়ায় ফিডার চালু করা হয়।,2019-10-28 16:50:00,2019-10-28 17:10:00,0 days 00:20:00,
20,H.T জাম্পার করার জন্য,28-10-2019,কেওয়া বাজার ১ নং ফিডার,16:23,16:36, ফিডার ট্রিপ করে ব্রেকার বাহির করে দেওয়া হয়েছে      ,মনিরুজ্জামান   lm-1,মনিরুজ্জামান  LT,J.E কামরুজ্জামান,কাজ শেষে ক্লিয়ারেন্স দেওয়ায় ফিডার চালু করা হয়,2019-10-28 16:23:00,2019-10-28 16:36:00,0 days 00:13:00,
31,N/C করন,29-10-2019,২ নং ফিডার,17:00,17:10,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।, আতাউল গনি  LM-2,রুহুল LM-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়,2019-10-29 17:00:00,2019-10-29 17:10:00,0 days 00:10:00,
32,অভিযোগ সমাধান ,29-10-2019,,21:50,22:30,ফিডার ট্রিপ করে ব্রেকার আউট করে শাটডাউন দেয়া হয়।,শাহ আলম LM-1,রুহুল LM-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 21:50:00,2019-10-29 22:30:00,0 days 00:40:00,
29,অভিযোগ সমাধান,29-10-2019,৩ নং ফিডার,16:25,16:30,ফিডার ট্রিপ করে ব্রেকার বের করে।,ওয়াদুদ,রুহুল ,JE ( o&m),কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 16:25:00,2019-10-29 16:30:00,0 days 00:05:00,
28,ROW কাজের জন্য,29-10-2019,৪ নং ফিডার,16:15,16:20,ফিডার ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,সেলিম LM-1,রুহুল Lm-2,AGM (O&M),কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 16:15:00,2019-10-29 16:20:00,0 days 00:05:00,
22,X-former  উত্তোলন,29-10-2019,৩ নং ফিডার,11:20,12:16,ফিডার। ট্রিপ করে ব্রেকার বের করে শাটডাউন দেয়া হয়।,ওয়াদুদ LM-1,কামরুল,AGM,কাজ শেষে ক্লিয়ারেন্স দিলে লাইন চালু করা হয়।,2019-10-29 11:20:00,2019-10-29 12:16:00,0 days 00:56:00,
